trace,trace_type,eviction,prefetcher,cache_size,interaction_window,miss_ratio,byte_miss_ratio,n_req,n_prefetch,n_prefetch_then_evict,n_prefetch_then_evict_then_miss,n_prefetch_then_evict_no_demand,n_prefetch_then_evict_then_hit,n_evict,n_evict_then_prefetch,n_evict_then_useful_prefetch,n_evict_then_useless_prefetch,log_path,status
w106.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,256mb,10000,0.1953,0.2468,3275919,305207,72593,39759,25308,7526,925572,24236,1367,22869,./results/cp_sweep_intensity/logs/w106.oracleGeneral.bin.zst__sieve__Mithril__256mb__w10000.log,ok
w106.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,64mb,10000,0.2293,0.2987,3275919,684102,428499,256600,93626,78273,1427615,204282,26564,177718,./results/cp_sweep_intensity/logs/w106.oracleGeneral.bin.zst__sieve__Mithril__64mb__w10000.log,ok
w106.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,64mb,10000,0.2388,0.3080,3275919,700414,69580,40250,16528,12802,1476511,233972,121988,111984,./results/cp_sweep_intensity/logs/w106.oracleGeneral.bin.zst__fifo__Mithril__64mb__w10000.log,ok
w02.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,256mb,1000,0.1749,0.1377,122181000,204769310,33073781,16382850,529327,16161604,226133951,4502304,914325,3587979,./results/cp_sweep_intensity/logs/w02.oracleGeneral.bin.zst__sieve__Mithril__256mb__w1000.log,ok
w10.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,16mb,100,0.9329,0.9623,48342350,4727490,29421,14880,2499,12042,49825730,490057,126664,363393,./results/cp_sweep_intensity/logs/w10.oracleGeneral.bin.zst__lru__Mithril__16mb__w100.log,ok
w10.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,16mb,1000,0.9329,0.9623,48342350,4727490,1281481,635856,129210,516415,49825730,1431362,717115,714247,./results/cp_sweep_intensity/logs/w10.oracleGeneral.bin.zst__lru__Mithril__16mb__w1000.log,ok
w10.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,64mb,100,0.8815,0.9525,48342350,6661446,0,0,0,0,49273422,35262,7779,27483,./results/cp_sweep_intensity/logs/w10.oracleGeneral.bin.zst__lru__Mithril__64mb__w100.log,ok
w10.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,16mb,10000,0.9329,0.9623,48342350,4727490,2040654,1201647,243684,595323,49825730,2391474,1138084,1253390,./results/cp_sweep_intensity/logs/w10.oracleGeneral.bin.zst__lru__Mithril__16mb__w10000.log,ok
w10.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,256mb,100,0.7525,0.9082,48342350,10543639,0,0,0,0,46916154,24001,5497,18504,./results/cp_sweep_intensity/logs/w10.oracleGeneral.bin.zst__lru__Mithril__256mb__w100.log,ok
w10.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,64mb,1000,0.8815,0.9525,48342350,6661446,188796,122514,40296,25986,49273422,323783,87344,236439,./results/cp_sweep_intensity/logs/w10.oracleGeneral.bin.zst__lru__Mithril__64mb__w1000.log,ok
w10.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,1gb,100,0.6698,0.8050,48342350,14886421,0,0,0,0,47248585,11021,949,10072,./results/cp_sweep_intensity/logs/w10.oracleGeneral.bin.zst__lru__Mithril__1gb__w100.log,ok
w02.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,64mb,1000,0.1760,0.1287,122181000,204350235,33142239,15246239,472365,17423635,225849087,4587559,875442,3712117,./results/cp_sweep_intensity/logs/w02.oracleGeneral.bin.zst__lru__Mithril__64mb__w1000.log,ok
w10.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,256mb,1000,0.7525,0.9082,48342350,10543639,176409,82641,47158,46610,46916154,203130,47226,155904,./results/cp_sweep_intensity/logs/w10.oracleGeneral.bin.zst__lru__Mithril__256mb__w1000.log,ok
w10.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,16mb,100,0.9349,0.9637,48342350,4453675,26878,14006,2533,10339,49648820,443622,110103,333519,./results/cp_sweep_intensity/logs/w10.oracleGeneral.bin.zst__fifo__Mithril__16mb__w100.log,ok
w10.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,16mb,1000,0.9349,0.9637,48342350,4453675,1183586,584702,123661,475223,49648820,1314581,652051,662530,./results/cp_sweep_intensity/logs/w10.oracleGeneral.bin.zst__fifo__Mithril__16mb__w1000.log,ok
w10.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,64mb,100,0.8821,0.9532,48342350,6570360,0,0,0,0,49212915,32131,5743,26388,./results/cp_sweep_intensity/logs/w10.oracleGeneral.bin.zst__fifo__Mithril__64mb__w100.log,ok
w10.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,16mb,10000,0.9349,0.9637,48342350,4453675,1946084,1153737,238377,553970,49648820,2260489,1064427,1196062,./results/cp_sweep_intensity/logs/w10.oracleGeneral.bin.zst__fifo__Mithril__16mb__w10000.log,ok
w10.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,1gb,1000,0.6698,0.8050,48342350,14886421,0,0,0,0,47248585,109871,10512,99359,./results/cp_sweep_intensity/logs/w10.oracleGeneral.bin.zst__lru__Mithril__1gb__w1000.log,ok
w10.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,64mb,1000,0.8821,0.9532,48342350,6570360,187279,120907,40005,26367,49212915,313105,80005,233100,./results/cp_sweep_intensity/logs/w10.oracleGeneral.bin.zst__fifo__Mithril__64mb__w1000.log,ok
