trace,trace_type,eviction,prefetcher,cache_size,wss_byte,wss_frac,miss_ratio,byte_miss_ratio,n_req,log_path,status
w61.oracleGeneral.bin.zst,oracleGeneral,arc,none,311276277,31127627776,0.01,0.8332,0.8830,9884691,./results/cp_wss01_prefetch_ext/logs/w61.oracleGeneral.bin.zst__arc__noprefetch__311276277.log,ok
w60.oracleGeneral.bin.zst,oracleGeneral,gdsf,OBL,352079114,35207911424,0.01,0.8238,0.8286,9898835,./results/cp_wss01_prefetch_ext/logs/w60.oracleGeneral.bin.zst__gdsf__OBL__352079114.log,ok
w61.oracleGeneral.bin.zst,oracleGeneral,s3fifo,PG,311276277,31127627776,0.01,0.8318,0.8848,9884691,./results/cp_wss01_prefetch_ext/logs/w61.oracleGeneral.bin.zst__s3fifo__PG__311276277.log,ok
w61.oracleGeneral.bin.zst,oracleGeneral,s3fifo,OBL,311276277,31127627776,0.01,0.8318,0.8848,9884691,./results/cp_wss01_prefetch_ext/logs/w61.oracleGeneral.bin.zst__s3fifo__OBL__311276277.log,ok
w61.oracleGeneral.bin.zst,oracleGeneral,s3fifo,Mithril,311276277,31127627776,0.01,0.8318,0.8848,9884691,./results/cp_wss01_prefetch_ext/logs/w61.oracleGeneral.bin.zst__s3fifo__Mithril__311276277.log,ok
w61.oracleGeneral.bin.zst,oracleGeneral,arc,OBL,311276277,31127627776,0.01,0.8332,0.8830,9884691,./results/cp_wss01_prefetch_ext/logs/w61.oracleGeneral.bin.zst__arc__OBL__311276277.log,ok
w57.oracleGeneral.bin.zst,oracleGeneral,gdsf,Mithril,156024954,15602495488,0.01,0.2504,0.5769,10554725,./results/cp_wss01_prefetch_ext/logs/w57.oracleGeneral.bin.zst__gdsf__Mithril__156024954.log,ok
w60.oracleGeneral.bin.zst,oracleGeneral,gdsf,PG,352079114,35207911424,0.01,0.8238,0.8286,9898835,./results/cp_wss01_prefetch_ext/logs/w60.oracleGeneral.bin.zst__gdsf__PG__352079114.log,ok
w61.oracleGeneral.bin.zst,oracleGeneral,gdsf,none,311276277,31127627776,0.01,0.7193,0.8853,9884691,./results/cp_wss01_prefetch_ext/logs/w61.oracleGeneral.bin.zst__gdsf__noprefetch__311276277.log,ok
w59.oracleGeneral.bin.zst,oracleGeneral,arc,Mithril,110647720,11064772096,0.01,0.7624,0.7794,10223136,./results/cp_wss01_prefetch_ext/logs/w59.oracleGeneral.bin.zst__arc__Mithril__110647720.log,ok
w62.oracleGeneral.bin.zst,oracleGeneral,arc,none,396206090,39620609024,0.01,0.9217,0.8728,9497745,./results/cp_wss01_prefetch_ext/logs/w62.oracleGeneral.bin.zst__arc__noprefetch__396206090.log,ok
w61.oracleGeneral.bin.zst,oracleGeneral,arc,PG,311276277,31127627776,0.01,0.8357,0.8831,9884691,./results/cp_wss01_prefetch_ext/logs/w61.oracleGeneral.bin.zst__arc__PG__311276277.log,ok
w61.oracleGeneral.bin.zst,oracleGeneral,gdsf,OBL,311276277,31127627776,0.01,0.7193,0.8853,9884691,./results/cp_wss01_prefetch_ext/logs/w61.oracleGeneral.bin.zst__gdsf__OBL__311276277.log,ok
w60.oracleGeneral.bin.zst,oracleGeneral,lhd,none,352079114,35207911424,0.01,0.8144,0.8610,9898835,./results/cp_wss01_prefetch_ext/logs/w60.oracleGeneral.bin.zst__lhd__noprefetch__352079114.log,ok
w62.oracleGeneral.bin.zst,oracleGeneral,arc,OBL,396206090,39620609024,0.01,0.9217,0.8728,9497745,./results/cp_wss01_prefetch_ext/logs/w62.oracleGeneral.bin.zst__arc__OBL__396206090.log,ok
w62.oracleGeneral.bin.zst,oracleGeneral,s3fifo,Mithril,396206090,39620609024,0.01,0.9222,0.8699,9497745,./results/cp_wss01_prefetch_ext/logs/w62.oracleGeneral.bin.zst__s3fifo__Mithril__396206090.log,ok
w62.oracleGeneral.bin.zst,oracleGeneral,arc,Mithril,396206090,39620609024,0.01,,,,./results/cp_wss01_prefetch_ext/logs/w62.oracleGeneral.bin.zst__arc__Mithril__396206090.log,fail:134
w62.oracleGeneral.bin.zst,oracleGeneral,s3fifo,none,396206090,39620609024,0.01,0.9222,0.8699,9497745,./results/cp_wss01_prefetch_ext/logs/w62.oracleGeneral.bin.zst__s3fifo__noprefetch__396206090.log,ok
w60.oracleGeneral.bin.zst,oracleGeneral,lhd,PG,352079114,35207911424,0.01,0.8140,0.8601,9898835,./results/cp_wss01_prefetch_ext/logs/w60.oracleGeneral.bin.zst__lhd__PG__352079114.log,ok
