trace,trace_type,eviction,prefetcher,cache_size,wss_byte,wss_frac,miss_ratio,byte_miss_ratio,n_req,log_path,status
w77.oracleGeneral.bin.zst,oracleGeneral,lru,PG,189116375,18911637504,0.01,0.5777,0.7342,5616402,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w77.oracleGeneral.bin.zst__lru__PG__189116375.log,ok
w80.oracleGeneral.bin.zst,oracleGeneral,lru,OBL,49122165,4912216576,0.01,0.8187,0.9040,5256246,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w80.oracleGeneral.bin.zst__lru__OBL__49122165.log,ok
w81.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,205789936,20578993664,0.01,,,,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w81.oracleGeneral.bin.zst__lru__Mithril__205789936.log,fail:134
w80.oracleGeneral.bin.zst,oracleGeneral,sieve,none,49122165,4912216576,0.01,0.7962,0.8957,5256246,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w80.oracleGeneral.bin.zst__sieve__noprefetch__49122165.log,ok
w73.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,72396477,7239647744,0.01,0.4429,0.4977,6368815,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w73.oracleGeneral.bin.zst__lru__Mithril__72396477.log,ok
w76.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,88240885,8824088576,0.01,,,,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w76.oracleGeneral.bin.zst__sieve__Mithril__88240885.log,fail:134
w80.oracleGeneral.bin.zst,oracleGeneral,sieve,OBL,49122165,4912216576,0.01,0.7962,0.8957,5256246,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w80.oracleGeneral.bin.zst__sieve__OBL__49122165.log,ok
w81.oracleGeneral.bin.zst,oracleGeneral,lru,OBL,205789936,20578993664,0.01,0.7407,0.9083,5026619,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w81.oracleGeneral.bin.zst__lru__OBL__205789936.log,ok
w76.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,88240885,8824088576,0.01,,,,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w76.oracleGeneral.bin.zst__lru__Mithril__88240885.log,fail:134
w81.oracleGeneral.bin.zst,oracleGeneral,sieve,none,205789936,20578993664,0.01,0.7192,0.9035,5026619,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w81.oracleGeneral.bin.zst__sieve__noprefetch__205789936.log,ok
w82.oracleGeneral.bin.zst,oracleGeneral,lru,none,26526013,2652601344,0.01,0.4999,0.7453,4926610,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w82.oracleGeneral.bin.zst__lru__noprefetch__26526013.log,ok
w81.oracleGeneral.bin.zst,oracleGeneral,sieve,OBL,205789936,20578993664,0.01,0.7192,0.9035,5026619,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w81.oracleGeneral.bin.zst__sieve__OBL__205789936.log,ok
w82.oracleGeneral.bin.zst,oracleGeneral,lru,OBL,26526013,2652601344,0.01,0.4923,0.7451,4926610,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w82.oracleGeneral.bin.zst__lru__OBL__26526013.log,ok
w81.oracleGeneral.bin.zst,oracleGeneral,lru,none,205789936,20578993664,0.01,0.7407,0.9083,5026619,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w81.oracleGeneral.bin.zst__lru__noprefetch__205789936.log,ok
w78.oracleGeneral.bin.zst,oracleGeneral,sieve,PG,369610373,36961037312,0.01,0.4537,0.7293,5493106,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w78.oracleGeneral.bin.zst__sieve__PG__369610373.log,ok
w73.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,72396477,7239647744,0.01,0.4415,0.4953,6368815,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w73.oracleGeneral.bin.zst__sieve__Mithril__72396477.log,ok
w78.oracleGeneral.bin.zst,oracleGeneral,lru,PG,369610373,36961037312,0.01,0.4891,0.6225,5493106,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w78.oracleGeneral.bin.zst__lru__PG__369610373.log,ok
w82.oracleGeneral.bin.zst,oracleGeneral,sieve,none,26526013,2652601344,0.01,0.4632,0.7402,4926610,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w82.oracleGeneral.bin.zst__sieve__noprefetch__26526013.log,ok
w82.oracleGeneral.bin.zst,oracleGeneral,sieve,OBL,26526013,2652601344,0.01,0.4543,0.7360,4926610,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w82.oracleGeneral.bin.zst__sieve__OBL__26526013.log,ok
w83.oracleGeneral.bin.zst,oracleGeneral,lru,none,212506513,21250651328,0.01,0.4921,0.8241,3880481,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w83.oracleGeneral.bin.zst__lru__noprefetch__212506513.log,ok
w83.oracleGeneral.bin.zst,oracleGeneral,lru,OBL,212506513,21250651328,0.01,0.4920,0.8241,3880481,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w83.oracleGeneral.bin.zst__lru__OBL__212506513.log,ok
w83.oracleGeneral.bin.zst,oracleGeneral,sieve,none,212506513,21250651328,0.01,0.4806,0.8147,3880481,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w83.oracleGeneral.bin.zst__sieve__noprefetch__212506513.log,ok
w83.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,212506513,21250651328,0.01,,,,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w83.oracleGeneral.bin.zst__lru__Mithril__212506513.log,fail:134
w83.oracleGeneral.bin.zst,oracleGeneral,sieve,OBL,212506513,21250651328,0.01,0.4805,0.8147,3880481,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w83.oracleGeneral.bin.zst__sieve__OBL__212506513.log,ok
w83.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,212506513,21250651328,0.01,,,,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w83.oracleGeneral.bin.zst__sieve__Mithril__212506513.log,fail:134
w78.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,369610373,36961037312,0.01,0.3330,0.5124,5493106,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w78.oracleGeneral.bin.zst__lru__Mithril__369610373.log,ok
w78.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,369610373,36961037312,0.01,0.3304,0.4938,5493106,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w78.oracleGeneral.bin.zst__sieve__Mithril__369610373.log,ok
w77.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,189116375,18911637504,0.01,0.4292,0.4853,5616402,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w77.oracleGeneral.bin.zst__lru__Mithril__189116375.log,ok
w81.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,205789936,20578993664,0.01,,,,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w81.oracleGeneral.bin.zst__sieve__Mithril__205789936.log,fail:134
w84.oracleGeneral.bin.zst,oracleGeneral,lru,none,216742246,21674224640,0.01,0.4818,0.5688,4814234,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w84.oracleGeneral.bin.zst__lru__noprefetch__216742246.log,ok
w77.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,189116375,18911637504,0.01,0.4326,0.4947,5616402,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w77.oracleGeneral.bin.zst__sieve__Mithril__189116375.log,ok
